2022-04-25 18:39:58.655389	acc 0 :   	46.43 (¡À 4.23)	sen :   	42.41 (¡À 4.10)	spe :   	49.96 (¡À 5.79)f1 :   	42.38 (¡À 4.05)auc :   	46.18 (¡À 4.02)
2022-04-25 18:39:58.655389	acc 1 :   	46.48 (¡À 3.20)	sen :   	42.45 (¡À 3.73)	spe :   	50.01 (¡À 3.96)f1 :   	42.39 (¡À 4.02)auc :   	46.23 (¡À 3.22)
2022-04-25 18:39:58.655389	acc 2 :   	46.29 (¡À 1.76)	sen :   	42.49 (¡À 3.67)	spe :   	49.83 (¡À 5.00)f1 :   	42.26 (¡À 2.29)auc :   	46.16 (¡À 1.73)
2022-04-25 18:39:58.655389	acc 3 :   	46.29 (¡À 3.09)	sen :   	42.48 (¡À 5.96)	spe :   	49.70 (¡À 5.11)f1 :   	42.21 (¡À 4.17)auc :   	46.09 (¡À 3.10)
2022-04-25 18:39:58.655389	acc 4 :   	46.39 (¡À 3.52)	sen :   	42.32 (¡À 6.59)	spe :   	49.87 (¡À 4.06)f1 :   	42.16 (¡À 5.40)auc :   	46.09 (¡À 3.67)
2022-04-25 18:39:58.655389	acc 5 :   	46.25 (¡À 3.06)	sen :   	41.95 (¡À 4.75)	spe :   	50.03 (¡À 5.72)f1 :   	41.94 (¡À 4.83)auc :   	45.99 (¡À 3.16)
2022-04-25 18:39:58.655389	acc 6 :   	46.66 (¡À 2.66)	sen :   	42.43 (¡À 5.20)	spe :   	50.38 (¡À 5.64)f1 :   	42.39 (¡À 4.16)auc :   	46.40 (¡À 2.80)
2022-04-25 18:39:58.655389	acc 7 :   	46.33 (¡À 4.48)	sen :   	42.26 (¡À 4.45)	spe :   	50.09 (¡À 7.07)f1 :   	42.26 (¡À 4.76)auc :   	46.17 (¡À 4.45)
2022-04-25 18:39:58.655389	acc 8 :   	46.47 (¡À 3.29)	sen :   	42.14 (¡À 4.98)	spe :   	50.25 (¡À 4.98)f1 :   	42.20 (¡À 4.33)auc :   	46.20 (¡À 3.32)
2022-04-25 18:39:58.655389	acc 9 :   	46.29 (¡À 2.92)	sen :   	42.12 (¡À 2.56)	spe :   	49.70 (¡À 4.15)f1 :   	42.14 (¡À 3.07)auc :   	45.91 (¡À 2.76)
2022-04-25 18:39:58.655389	 0.20 acc  :   	46.39 (¡À 0.12)  sen  :   	42.31 (¡À 0.17)  spe  :   	49.98 (¡À 0.21)  f1  :   	42.23 (¡À 0.13)  auc  :   	46.14 (¡À 0.13)
2022-04-25 19:30:52.344391	acc 0 :   	61.53 (¡À 2.25)	sen :   	43.99 (¡À 3.36)	spe :   	76.90 (¡À 3.48)f1 :   	51.46 (¡À 3.99)auc :   	60.45 (¡À 2.76)
2022-04-25 19:30:52.344391	acc 1 :   	60.71 (¡À 3.11)	sen :   	43.66 (¡À 3.33)	spe :   	75.65 (¡À 2.88)f1 :   	50.76 (¡À 3.14)auc :   	59.66 (¡À 2.62)
2022-04-25 19:30:52.344391	acc 2 :   	60.58 (¡À 3.04)	sen :   	44.98 (¡À 3.12)	spe :   	74.05 (¡À 4.43)f1 :   	51.43 (¡À 3.16)auc :   	59.51 (¡À 2.57)
2022-04-25 19:30:52.344391	acc 3 :   	60.31 (¡À 3.54)	sen :   	43.83 (¡À 5.46)	spe :   	74.66 (¡À 4.04)f1 :   	50.52 (¡À 5.77)auc :   	59.24 (¡À 3.91)
2022-04-25 19:30:52.344391	acc 4 :   	60.76 (¡À 1.70)	sen :   	44.13 (¡À 3.57)	spe :   	75.39 (¡À 3.12)f1 :   	51.04 (¡À 2.21)auc :   	59.76 (¡À 1.43)
2022-04-25 19:30:52.344391	acc 5 :   	62.11 (¡À 2.21)	sen :   	46.33 (¡À 4.33)	spe :   	75.88 (¡À 1.80)f1 :   	53.06 (¡À 2.95)auc :   	61.11 (¡À 1.54)
2022-04-25 19:30:52.344391	acc 6 :   	63.15 (¡À 2.66)	sen :   	47.10 (¡À 4.39)	spe :   	77.21 (¡À 3.46)f1 :   	54.23 (¡À 3.63)auc :   	62.16 (¡À 2.58)
2022-04-25 19:30:52.344391	acc 7 :   	61.49 (¡À 3.33)	sen :   	45.81 (¡À 4.29)	spe :   	74.96 (¡À 5.00)f1 :   	52.47 (¡À 4.04)auc :   	60.39 (¡À 3.13)
2022-04-25 19:30:52.344391	acc 8 :   	60.76 (¡À 3.84)	sen :   	43.30 (¡À 6.08)	spe :   	75.99 (¡À 4.36)f1 :   	50.50 (¡À 5.29)auc :   	59.65 (¡À 3.78)
2022-04-25 19:30:52.344391	acc 9 :   	60.53 (¡À 2.96)	sen :   	46.64 (¡À 5.39)	spe :   	72.85 (¡À 2.50)f1 :   	52.18 (¡À 4.20)auc :   	59.74 (¡À 2.68)
